Company Name,,,,,,,,,,,,,,,,,,,,,,,,Employee Count,AI Summary,AI Summary Reasoning
30 Day Extensions Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Architect Joinery Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Season Roofing Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
414 Carpentry & Construction,,,,,,,,,,,,,,,,,,,,,,,,,,
A & D Landscapes Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
A G W ROOFING & CONSTRUCTION LTD,,,,,,,,,,,,,,,,,,,,,,,,,,
A I Myles Plastering Service,,,,,,,,,,,,,,,,,,,,,,,,,,
A New Lofts And Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,
A New Roofing and Sons Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
A P P Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,
A R Systems - DuoPly EPDM flat roofing,,,,,,,,,,,,,,,,,,,,,,,,,,
A* Property Services,,,,,,,,,,,,,,,,,,,,,,,,,,
A1 Lofts & Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Property Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Groundworks Contractors,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Plastering,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Small Building Works,,,,,,,,,,,,,,,,,,,,,,,,,,
AB Heather Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,
AB Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Services Landscaping,,,,,,,,,,,,,,,,,,,,,,,,,,
Abco Roofing Limited,,,,,,,,,,,,,,,,,,,,,,,,,,
ABG T & L LTD,,,,,,,,,,,,,,,,,,,,,,,,,,
Able 2 Build & Sons Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
Able Roofing,,,,,,,,,,,,,,,,,,,,,,,,,,
