companyNumber,companyName,status,incorporationDate,companyType,jurisdiction,registeredAddress,sicCodes,id,createdAt,updatedAt,lastProcessed,processingStatus,dataQualityScore
"14584285","ABLE ROOFING LIMITED","active",Wed Jan 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"3ccefb1d-421d-4950-80ad-1b22329f188a",Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"08322273","ABLE 2 BUILD & SONS LIMITED","active",Fri Dec 07 2012 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41202,"cb141d9d-d2c9-48ee-aba6-14c9add9fb39",Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:33 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13945844","ABG T & L LTD","active",Tue Mar 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81300,"1f8b12ff-fede-4388-afbb-0e3091330068",Fri Aug 08 2025 09:54:32 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:32 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:32 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11264813","ABCO ROOFING LIMITED","active",Tue Mar 20 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"55d36bab-7889-479a-93c5-3ed7e462f7d9",Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13600487","ABBEYFIELDS GROUNDWORKS AND LANDSCAPING LIMITED","active",Fri Sep 03 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81300,"b7f9e842-d287-4e8b-bae6-78db35d282c9",Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:31 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11820658","AB ROOFING LTD","active",Mon Feb 11 2019 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"b199d98c-f40c-48c1-be64-adbd883820bf",Fri Aug 08 2025 09:54:30 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:30 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:30 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"04598214","A.B.HEATHER.CARPENTRY & JOINERY LTD","active",Fri Nov 22 2002 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],82990,"ed033566-4849-4b01-af34-f378048c4203",Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13256852","AARON SMALL BUILDING WORKS LTD","dissolved",Wed Mar 10 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43999,"53fa196e-a28a-4741-b6ae-1f41eccd8ec6",Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:29 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"SC656134","AA PLASTERING LIMITED","dissolved",Mon Mar 02 2020 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","scotland",[object Object],43310,"af89f273-68cd-4537-a647-5e513ca56cad",Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11200902","AAA GROUNDWORKS LTD","active",Mon Feb 12 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43120,"4fab02d7-a84e-46b9-a731-b3d45d6f3f93",Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:28 GMT+0000 (Coordinated Universal Time),"completed","0.95"
